1;Meinewelt;Yusuf Tetsuya;seminggu lalu;#JanganJera
1;Meinewelt;Siti Aisah;8 bulan lalu;10/10 👍 …
1;Meinewelt;VheRa Vherga;10 bulan lalu;A cozy place for working with your laptop or just hang out with friends. The staffs are so good-natured so don't hesitate to ask anything with them if you need help. The food is super delicious (I love the Chicken Katsu!) and so affordable …
1;Meinewelt;Andrew Andrew;3 tahun lalu;"antar anak nemuin cs nya... anak muda banget ni tempat jadi sendirian om omnya 😁😁. rame bingit
#nasasampit …"
1;Meinewelt;Grace;11 bulan lalu;Asyik tempat dan suasana nya keren dan Instagrameble 😍😀 pokoknya puas aja.....👌 Rekom buat nongki rame2,  couple atau srndirian …
1;Meinewelt;sergeant chain;3 minggu lalu;Average, but their cireng taste good
1;Meinewelt;Novia Fitriany;8 bulan lalu;Ayam katsunya
1;Meinewelt;Meila Dianina;11 bulan lalu;Bagus aja
1;Meinewelt;Hermon Karisma;2 tahun lalu;Baguss
1;Meinewelt;Oni Chan;setahun lalu;Baik untuk menginap
1;Meinewelt;hana shinjusa;4 bulan lalu;"Buat ngumpul-ngumpul oke, buat santai oke, harga oke, yang pasti Oke-oke lah.

Kalian harus coba, kalo udah cocok #janganjera kesana lagi."
1;Meinewelt;Indri K. Bahar (Mede Inka);5 tahun lalu;Cafe nya ga begitu luas, tapi tempat nya cukup nyaman. Ada indoor dan outdoor nya. Outdoor ny kyk tema taman kecil gtu bnyk tumbuhan ny. Menu makan dan minuman harga nya standar, nasi ayam kalasan dan chicken katsu nya enak, rekomended 2 menu itu. Selalu ramai di hari weekend. Termasuk cafe yg rekomen di kota Palangkaraya.
1;Meinewelt;joe youtube;setahun lalu;Cafe outdoor lumayan rame juga
1;Meinewelt;Dessy Diani.S;4 tahun lalu;Caramel lattenya fav enak, the green tea is cheap tho, the employees are friendly too
1;Meinewelt;Luvvi;2 tahun lalu;Coffee shop recommended dekat pusat kota
1;Meinewelt;Frily latuconsina;2 bulan lalu;Cucok tempatnya, pas didompet
1;Meinewelt;nm desktop;4 tahun lalu;Cukup baik
1;Meinewelt;Vita Pratiwi YEP;setahun lalu;Dari segi tempat sangat menarik bisa outdoor dan indoor nyaman serta tersedia tempat yg bisa di reservasi 👍, di dalam sejuk lengkap dengan hiasan yg unik dan di sertai tv nicee harga terjangkau 👍👍✨ …
1;Meinewelt;Saniah Elshanty;4 bulan lalu;Enak banget buat nongkrong orang tua dan muda, sangat cozy
1;Meinewelt;Melly Deslina;2 tahun lalu;Enak banget dan Santuy
1;Meinewelt;Elisa;2 tahun lalu;Enak dan harga sesuai kantong
1;Meinewelt;Chairun Novita;11 bulan lalu;Enak sekali
1;Meinewelt;Anis Yasmine;setahun lalu;enak tempatnya, makanan juga enak
1;Meinewelt;Eka Mailina;3 tahun lalu;Enak untuk bersantai
1;Meinewelt;Annisa Ambariani;3 tahun lalu;Good
