pool_idx;ulasan;label
1801;"Asli parah banget pelayanannya nunggu pesanan sampai satu jam.
Malah ada orang di belakang kami datang nya dpat duluan dari pada saya..
Pantas aja mulai sepi .. …";negative
2180;Tempat nya nyaman, outdoor ny luas.. kalau di malam minggu ramai dan ngantri.. menu favorit ayam crispy nasi daun jeruk enakk bgtt, nasi daun jeruk ny pakai blueband gtu jdi gurihh, tapi porsi ayam crispy ny sedikit.. …;positive
2388;"Pelayanannya bagus harganya oke minuman dan makanannya juga enak
Tp untuk suasanya agak kurang karena di dalam sedikit gelap dan kelihatan kurang bersih";neutral
449;"Tempat bertemakan jepang, space luas.
Varian menu cukup banyak, makanan berat juga banyak. Rasa Minuman & makanan standar. Kurang pas buat yg mau sambil kerja lama bawa laptop krn colokan susah.";neutral
1455;"Pelayanannya lumayan lambat
Minumannya saja datang sekitar setengah jam lebih, bahkan snack nya sudah duluan diserve …";negative
1183;"Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu.
Ini jadi nilai minus sekali.
Terkesan menutupi harga.";negative
2458;"1. Buka Pagi sd Malam
2. Ada outdoor dan indoor
3. Sangat bersih tersedia tempat cuci tangan, dsb
4. Indoor sangat sejuk dan harum
5. Plihan menu banyak mulai dari kopi,non-kopi,boba, dan macam"" teh.
6. Karyawan rapi bersih dan ramah";positive
2274;"Kalo tengah malam butuh kopi dan workspace cocok, buka sampai subuh soalnya😂
Minuman dan makanan beratnya selalu ready, jarang sampai kehabisan …";positive
663;Pelayanannya bagus ramah, tempatnya bagus, instagrammable, tetapi AC nya kurang berasa, oiya yg paling pentingg harganya cocok di kantong;positive
812;First time kesini untuk acara bukber sekaligus ngerayain ultah adek. Sudah reservasi dan DP juga dari siang (4 main course, 1 snack asin, 2 snack manis, 2 sweet drink, 3 air mineral). Agak sorean dikabarin salah satu main course (ramyun) …;neutral
1113;"INI BARU KOPISOP 😭
pelayanan ramah bintang 5. makanan enak, tempat dingin, ada wifi (buat kerja), ADA BASIC TEA kwkwkwkwkwk. terrrrrrrbaaaaiiiikkkkkkkkkk …";positive
1958;"Ada rambut di makanannya
Terus mba kasir dan mas kasirnya ketawa2 krna teman saya duduk di kursi dan kursinya patah, kita tau kita salah tapi ga seharusnya diketawain hehe ga sopan
Trims";negative
2563;Rasa gk seberapa harga selangit;negative
1675;"tempat nya strategis karena deket dg kantor dan makanan nya termasuk worth it to buy untuk anak kuliahan
saran, untuk tempat nya di bikin lebih asri supaya lebih adem";positive
1008;"Sangat kecewa dengan pelayanannya...
Saya dan keluarga menunggu pesanan makanan hampir 40 menitan menunggu... setelah saya Cek ke cashier dan cashier nya menuju ke dapur alangkah terkejutnya …";negative
1166;Nyaman karena agak masuk kedalam tempatnya nongkinya siang sih kurang kipas angin aja diluar nya, kayanya bakalan bagus, apalagi harinya panas kan yaa;positive
1390;Manis sekali;negative
261;Tdk jadi pesan, banyak antri dan penuh orang;negative
1843;"Yth. Manajemen oregano coffe,
Sorry untuk bintang 3 nya ada beberapa poin yg harus di koreksi …";negative
1876;"Buka 24 jam kacauwww

Tapi sayang untuk parkiran mobil harus di bahu jalan kinibalu";neutral
352;"Kopi sundul best seller ⭐⭐⭐⭐⭐
Pas buat nongkrong pagi, sore atau malam hari..
Minusnya tempat parkir kurang luas,..";neutral
1120;"9/10/23
Pertama kali kesini nyobain ayam gogo yg kata tmn² aku enak. Ternyata beneran enak ayam nya empuk👍🏻 …";positive
1496;cakep ya barista nya😃 …;positive
