pool_idx;ulasan;label
273;"Ikan nila goreng blm masak dalam nya...
Alhamdulillah";negative
2635;Kopinya ok, tapi ruangan ber ac malah boleh merokok;negative
2269;"Pengalaman yg tidak menyenangkan.
Pesan butterscotch dan og latte.
Pada menu tertera coffee dan non coffee …";negative
317;"Tepat waktu kopi, tempat yang enak buat bersantai. Lokasi nya sangat strategis.
Buat yang takut nanti ketinggalan ibadah sholat, tenang aja. Kedai ini sangat dekat dengan masjid, jadi kalau waktu sholat tiba kita akan tahu. Dan bisa melaksanakan sholat dengan segera.
Nongkrong di dunia dapet, ibadah tetap jalan.";positive
1574;Pelayanan nya bad;negative
1194;"Makanannya sukakkkk
Apalagi matchanya fav bgt bnr bnr asli matcha yang ga dibkin manis 😍
Tapi kalau udh jam 8an ke atas ga wort it buat ngerjakan tugas karna cafenya …";positive
1134;"Tempatnya lumayan, yg menurutku gak fair itu, gak ada harganya di menu.
Ini jadi nilai minus sekali.
Terkesan menutupi harga.";negative
2317;"Untuk pelayanan kasir mungkin bisa ditingkatkan lebih ramah dan informatif. Salam senyum sapa untuk pelanggan.
Semoga lebih baik";neutral
2497;"Pelayanannya sangat banyak kurangnya,
Kami sdh paling duluan memesan makanan tapi yg dilayani org yg baru datang, makanan kami 1 jam kebih ga datang"". …";negative
2344;Tempat nongkrong untuk remaja;neutral
1882;"Ada rambut di makanannya
Terus mba kasir dan mas kasirnya ketawa2 krna teman saya duduk di kursi dan kursinya patah, kita tau kita salah tapi ga seharusnya diketawain hehe ga sopan
Trims";negative
1306;Bagus, bisa nongkrong di roof top, minumannya kebanyakan kopi sih di menunya, belum ketemu jus gitu, makanan ringan ala kafe standard;positive
1831;"Saya kasih 4 stars dl ya......bcoz....
Kalo untuk pelayanan dan kecepatan penyajian ok banget👍 but..........
Kita pesen mix plater isinya ayam, kentang dan sosis... tp kentangnya digigit …";positive
242;Tempatnya strategis untuk nongkrong sambil ngopi, sayangnya varian minumannya agak terbatas.,;neutral
628;"Tempatnya luas, makanannya enak
Suka sekut jellynya 🫶🏻
Cuma minus kalau duduk diluar agak panas aja …";positive
1634;Menunya masih tergolong lumayan mahal namun tempatnya lumayan keren;neutral
563;"Kurang suka dengan menu makanananya.
Suasana cukup bagus";neutral
803;"Bukan untuk yang kelaperan dan buru-buru.
Nikmati kopinya... ngobrol bersama teman/keluarga sembari menunggu makanan disiapkan bisa mengurangi rasa bosen/lama menunggu makanan kita siap.";neutral
2089;Atas;neutral
426;"Tempat bertemakan jepang, space luas.
Varian menu cukup banyak, makanan berat juga banyak. Rasa Minuman & makanan standar. Kurang pas buat yg mau sambil kerja lama bawa laptop krn colokan susah.";neutral
2286;F&B affordable, pelayanan standar—cenderung lama, bagian indoor bersih.;neutral
780;Tempatnya enak full ac adem dan estetik tp sayang menu2 makannya krg cocok d aku tampilan bgus tp d lidah jauh dr ekspektasi 🙏🏼 …;negative
1773;"Yth. Manajemen oregano coffe,
Sorry untuk bintang 3 nya ada beberapa poin yg harus di koreksi …";negative
1193;"Makanannya sukakkkk
Apalagi matchanya fav bgt bnr bnr asli matcha yang ga dibkin manis 😍
Tapi kalau udh jam 8an ke atas ga wort it buat ngerjakan tugas karna cafenya …";positive
2428;Tempat nongkrong;neutral
642;"Tempat nyaman, rasanya enak menunya bervariasi.
Tapi sistem pemesanan agak ribet, scan barcode hanya untuk lihat menu saja bukan sekalian pesan via link. Jadinya 2x antri buang2 waktu";negative
516;"Kopinya endulsss banget, tempatnya cozy juga buat nongkrong malem malem karna kalau siang puanassss pol
Oh iya kemarin sempat mesan dimsum mentai,tapi zonk banget karna di dalam dimsumnya masih ada jahe utuh yang lumayan gede jdi ngerusak rasa dimsumnya";neutral
2298;"Vibes nya outdoor dan indoor...
Outdoornya enak kalau malam, bisa adem..kalau siang dikasih fan
Kopinya 👍 …";positive
1732;"Asli parah banget pelayanannya nunggu pesanan sampai satu jam.
Malah ada orang di belakang kami datang nya dpat duluan dari pada saya..
Pantas aja mulai sepi .. …";negative
1610;"tempat nya strategis karena deket dg kantor dan makanan nya termasuk worth it to buy untuk anak kuliahan
saran, untuk tempat nya di bikin lebih asri supaya lebih adem";positive
2319;"Sangat sangat Sangatttttttt Mengecewakan Pelayanan sangat Jelek.
pesanan sangat lama,nunggu hampir 2 jam baru dibikinkan padahal keadaan cafe tidak terlalu ramai.bahkan kasir tidak ada rasa bersalah atau meminta maaf sama …";negative
1303;"Suka Es Kopi Susu Taguk Ha nya . Harga bersahabat . Area cukup luas untuk tempat duduk banyak pilihan dengan tema yang berbeda-beda .
Selalu ramai tiap akhir pekan";positive
1392;"Makanan, minuman & suasananya enak.
Pegawainya agak pendiam tapi ga masalah sih …";positive
1615;"Makanannya lama sekali, sampai2 ada yg lgs ninggalin makanannya tp blg2 lagi
Hrsnya pemiliknya stand by apalagi msh awal pembukaann
Yg dtg msh review jd byk penilaian";negative
2261;Coffee nya enak agak creamy, sayang nya es batu lebih banyak daripada coffee. Cireng nya juga enak. Kemarin take away karena coffee shop nya ramai sekali di jam makan siang. Harga nya terjangkau. Pelayanan ramah.;positive
487;"Cafe 24 jam yang lokasinya strategis.

Vibes malam sama siang jujur beda, kalau malam penuh kalau siang lebih enak buat …";neutral
262;Kopinya enak tapi agak manis menurutku. Masih terasa kopi dibanding manisnya. Makanannya lumayan. Tempatnya enak,;positive
112;"Nyuci mobil sambil nongki di G. Obos
Mantuullll";positive
1843;"Adminnya slow respon.
Makanan banyak kosong dan sedikit menunya.
Makanannya sudah pesan tp datang terlambat. …";negative
834;"Beverage : the coffee is too sweet
Snack : you should add the variety of your snack
Place : the AC system doesn't cool down the air and I hope you can  fix that please.";negative
1125;Banyak dessertnya di sini dan enak-enak! Suasana jg enak tenang ga begitu ramai, harga standar, area indoornya ga begitu luas sayangnya.;positive
2549;"Caffe latte nya mantab... Hazelnut latte nya juara...
Singkong gorengnya jooosss";positive
1489;"Perlu dibanyakin terkait ready menu di cafenya mas... krn snack hanya ready kebab aza tadi. Yahh ...khann
Pdhl ini jadwal malam mingguan...syg bangett";negative
2406;"saya beli risol 1 porsi pelit bgt
masa 1 kotak 1 porsi, isinya 1 biji.
ga worth it.";negative
1270;"TAGUK HA SEKARANG BEDA DENGAN TAGUK HA YANG DULU.
NUNGGU PESANAN NASI GORENG TAGUK HA DAN KOPI HITAM MANIS BEGITU LAMA.
DULU ORDERAN GOJEK CEPAT SELESAI SEKARANG BEGITU LAMA. …";negative
1614;"Makanannya lama sekali, sampai2 ada yg lgs ninggalin makanannya tp blg2 lagi
Hrsnya pemiliknya stand by apalagi msh awal pembukaann
Yg dtg msh review jd byk penilaian";negative
566;"Ayam wokunya enak, bumbunya berasa, wangii.
Banana roll nya juga enak, tapi sayang gahabis makannya waktu itu karna ada rambut dalam pisangnya😭 padahal masih mau makan, sayang juga ga sempat komplain langsung …";neutral
215;"Kasir sangat lama. Butuh 2 kasir buat mengantisipasi antrian.
Untuk minuman? So so lah untuk harga segitu. Dibilang enak yaa engga, dibilang gaenak juga engga.
Untuk tempat, sangat cocok buat nongkronh sama teman.";neutral
2491;"Makanan datang sangat lamaa.
datang tidak sesuai antrian.
sudah menunggu 1 jam setengah tetapi belum datang malah pesanan teman saya yang …";negative
977;"Tempatnya cozy
Luas, kamar mandi bersih,prokes
Kopinya enak harga standar …";positive
966;"Sangat kecewa dengan pelayanannya...
Saya dan keluarga menunggu pesanan makanan hampir 40 menitan menunggu... setelah saya Cek ke cashier dan cashier nya menuju ke dapur alangkah terkejutnya …";negative
2410;"kesini pasti datang untuk ketemu teman
Nyaman tempatnya untuk ngobrol sama teman-teman
Meskipun disini susah untuk parkiran nya
Menu lengkap, pelayanan cepat, orang-orang nya ramah.";positive
1584;So sad pertama kali kesini dapat bad impression. Dapat rekomendasi dari yang pernah kesini sebelumnya kalau jadi salah satu tempat bagus disini. Pertama pesen fine aja;negative
1348;"Makanan enak2
Cuman agak pricey yaaa";neutral
1479;"Seru, asik untuk ngerjain tugas. Minuman greenteanya enak untuk yang gak suka kopi. Lain kali pengen coba pesan Caramel Latte, sama Pasta, juga Kebab.
Ini tampilan di depan jalan masuknya.";positive
733;Tempatnya nyaman dan bersih, untuk lantainya kalau bisa dikeramik;positive
1106;"Suasananya oke ada smoking room nya juga
Untuk harga si lumayan pricey kalo untuk anak kuliahan";neutral
647;"Kami datang jam 09.00 belum buka.
Padahal di jadwalnya jam 09.00 cabang hq atau cut nyak dien sudah buka
Menunggu hingga 09.10 masih blm buka. …";negative
68;Tempat nongkrong + ngopi;neutral
224;"Sangat pas untuk Nongki, tapi terlalu ramai sehingga untuk privasi agak kurang.
Kalau mau privasi room harus jd membee dulu.";neutral
2591;"Lokasinya strategis, depan hotel Loca.
Tempatnya enak, AC dingin, dan bersih.
Kopinya enak 👍🏻 …";positive
1657;"Dikelola oleh tim yang sama yang memiliki About Something, mereka tahu permainan mereka.

Menu dan konsepnya dirancang dengan baik. Harganya sangat terjangkau dan sesuai dengan situasi pasar Palangkaraya.

Semua makanannya enak, favorit pribadi saya adalah Pisang Goreng Madu dan Roti Bakar Srikaya. Sayang sekali sebagian besar minuman mereka terlalu manis untuk saya (tapi ini sepenuhnya bersifat pribadi). Biasanya saya hanya memesan kopi hitam atau es teh tanpa pemanis.

Satu hal utama yang perlu mereka perbaiki: waktu layanan. Mereka menyajikan makanan dalam waktu 30 menit hingga satu jam setelah kami memesan. Di luar jam sibuk masih menunggu 30 menit. Saya tidak tahu apakah ini masalah SOP atau staf, tapi ini bisa menjadi masalah dalam jangka panjang. Tolong segera perbaiki.";positive
170;"Bagian resevasinya misscom sama kasir
Ntah yg mana yg benar
Pdahal sudah kasih deposit sebelumnya …";negative
865;"Take a way 1 gelas kopi lewat aplikasi nunggu hampir 20 menit
Padahal waktu itu gak banyak orang
Ayo mba2 yang cantik yg krja dsna jgn byk ngobrol/ghibah..";negative
835;"Beverage : the coffee is too sweet
Snack : you should add the variety of your snack
Place : the AC system doesn't cool down the air and I hope you can  fix that please.";negative
250;"Tempat yg nyaman dan enak untuk nongkrong dan bersantai. Sukses terus.
Tapi syangnya wifi tdk ada.";neutral
660;Rasa kopinya seperti kopi kekinian lainnya.. yang saya suka takaran gulanya pass, ga terlalu manis meskipun saya ga minta less sugar. Pelayanannya ramah, dan di sebelahnya ada toko peralatan kopi juga.;positive
2077;"Saya mampir kesini jam 9an pagi, suasananya enak..
Onion Ring nya jg enak 👌 …";positive
1797;"Buka 24 jam mantaps.
Rasanya kopinya standar lah, makanannya lumayan. Tempatnya enak";positive
2626;Salah satu kafe yg ada di jalan nyai undang;neutral
1803;"Buka 24 jam kacauwww

Tapi sayang untuk parkiran mobil harus di bahu jalan kinibalu";neutral
2659;Cafe langganan setiap malam minggu, tempat ny cozy bgt 😭👍syg makanan ny kurang enak dan kurang banyak varian, tpi Kopi signature ny lumayan enak. Untuk harga standar. Parkir mobil ny terbatas. …;neutral
1990;Main course dan snacknya enak, jadi kalo lagi laper pengen sambil ngopi ga bingung mau ke mana. Kalo boleh pelayanannya pake remote self service biar tambah cepet dan meringankan baristanya, apalagi kitchennya jauh di belakang. Di sebelah depan luar kalo bisa dibikin wastafel cuci tangan yaa. Sukses selalu maju makmur ✨;positive
2198;Tempat nongkrong yg berjiwa muda. Cirengnya empuk cuy 🤤 …;positive
2623;Tempatnya enak sih buat santai, lebih bagus dari yg dulu. Pelayanannya aja lagi ditingkatkan;positive
1409;"Sebagai pengalaman
Saya beserta istri dengan 2 anak tiba di tempat dan sudah pesan makanan, indoor penuh terpaksa di outdoor ada banyak  tempat dgn 1 meja 2 kursi....mikirnya ngga …";neutral
1845;"Tempatnya cukup bagus ..ada tenda ada pondokanx..nuansa alam terbuka...cocok utk bersama keluarga maupun teman2..tp musik livenya mungkin terlalu kencang
Datang keduakalinya pesanan makanan tdk datang2 sampai 1jam an ..saya pikir karna terlalu ramai mlm minggu..eh pas pesanan dtg bilangnya catatan psanannya ga keliatan..";negative
2517;"Kesan pertama datang ke plovdiv
Tempatnya lumayan nyaman
Makanan & minuman harga standard
Rasa boleh juga👍 …";positive
1543;"Kasih masukan buat ownernya..
Kedepannya waiter di briefing agar lbh fokus mengurutkan bill pemesan, jd ga salah urutan antar orderan.. …";negative
1209;"Sebagai masukan untuk peningkatan..
Keramahan saya acungkan jempol
Sangat ramah .. …";positive
